order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
98,597-MAINTCO,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WHLMAA,HFTZ
99,565-RPRPTCO,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WDWTAA,HFTZ
100,71-ORDCO,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WET5AA,LGKU
101,561-SSBN,561-SSBN,7-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WDEEAA,HDBL
102,541-POL-TRKCO,541-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCNDAA,HDBL
103,584-MAINTCO,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WEYBAA,HDBL
104,406-SUPPLYCO,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WEVHAA,HCTL
105,181-TCBN,181-TCBN,7-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WCKXAA,XJN1
106,377-HVY-TRKCO,377-HVY-TRKCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCMBAA,FRBC
107,41-POL-TRKCO,41-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCMPAA,VXWV
108,51-MDM-TRKCO,51-MDM-TRKCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCNTAA,XJN1
109,316-POL-SUPPLYBN,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WSRPAA,VDYD
110,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WSTMAA,HCRL
111,515-POL-TRKCO,515-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCNBAA,XJN1
112,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WQ91AA,BQKY
113,452-ORDCO,452-ORDCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WQ56AA,AAKM
114,529-ORDCO,529-ORDCO,7-CSG.5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WB5KAA,VXWV
115,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,,CSS,DIVISION,Theater,Y,Y,Y,Y,WNBSAA,VDYD
116,AWR-2,AWR-2,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,N,N,N,N,,VDYD
117,200-MMC,200-MMC,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,Y,Y,Y,Y,WNBPAA,VDYD
118,RSA,RSA,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,N,N,N,N,,VDYD
119,7-TCGP-TPTDD,7-TCGP-TPTDD,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,Y,Y,Y,Y,WD1HAA,HERT
120,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL,,CSS,GROUP,Theater,Y,Y,Y,Y,WCAYAA,LXQD
121,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL,,CSS,BATTALION,Theater,Y,Y,Y,Y,WB0HAA,VYZR
