order,orig_org_id,base_org_id,suffix,org_name,combat_support,echelon,echelon_group,is_ua,is_deployable,has_physical_assets,has_equipment_assets,has_personnel_assets,uic,home_location
136,900-POL-SUPPLYCO,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,900-POL-SUPPLYCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WSTMAA,HCRL
137,515-POL-TRKCO,515-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,515-POL-TRKCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WCNBAA,XJN1
138,125-ORDBN,125-ORDBN,7-CSG.5-CORPS.ARMY.MIL,125-ORDBN,CSS,BATTALION,Corps,N,Y,Y,Y,Y,WQ91AA,BQKY
139,452-ORDCO,452-ORDCO,7-CSG.5-CORPS.ARMY.MIL,452-ORDCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WQ56AA,AAKM
140,529-ORDCO,529-ORDCO,7-CSG.5-CORPS.ARMY.MIL,529-ORDCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WB5KAA,VXWV
141,21-TSC-HQ,21-TSC-HQ,ARMY.MIL,21-TSC-HQ,CSS,DIVISION,Theater,N,Y,Y,Y,Y,WNBSAA,CYWK
142,AWR-2,AWR-2,21-TSC.ARMY.MIL,AWR-2,CSS,GROUP,Theater,N,N,N,N,N,,VDYD
143,200-MMC,200-MMC,21-TSC.ARMY.MIL,200-MMC,CSS,GROUP,Theater,N,Y,Y,Y,Y,WNBPAA,CYWK
144,RSA,RSA,21-TSC.ARMY.MIL,RSA,CSS,GROUP,Theater,N,N,N,N,N,,VDYD
145,7-TCGP-TPTDD,7-TCGP-TPTDD,21-TSC.ARMY.MIL,7-TCGP-TPTDD,CSS,GROUP,Theater,N,Y,Y,Y,Y,WD1HAA,HERT
146,29-SPTGP,29-SPTGP,21-TSC.ARMY.MIL,29-SPTGP,CSS,GROUP,Theater,N,Y,Y,Y,Y,WCAYAA,LXQD
147,51-MAINTBN,51-MAINTBN,29-SPTGP.21-TSC.ARMY.MIL,51-MAINTBN,CSS,BATTALION,Theater,N,Y,Y,Y,Y,WB0HAA,VYZR
148,512-MAINTCO,512-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,512-MAINTCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WB38AA,VYZR
149,574-SSCO,574-SSCO,29-SPTGP.21-TSC.ARMY.MIL,574-SSCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WDCQAA,VYZR
150,5-MAINTCO,5-MAINTCO,29-SPTGP.21-TSC.ARMY.MIL,5-MAINTCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WB1XAA,UDKL
151,343-SUPPLYCO,343-SUPPLYCO,29-SPTGP.21-TSC.ARMY.MIL,343-SUPPLYCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WSS7AA,UJGP
152,18-PERISH-SUBPLT,18-PERISH-SUBPLT,29-SPTGP.21-TSC.ARMY.MIL,18-PERISH-SUBPLT,CSS,PLATOON,Theater,N,Y,Y,Y,Y,WDNZAA,HCTL
153,191-ORDBN,191-ORDBN,29-SPTGP.21-TSC.ARMY.MIL,191-ORDBN,CSS,BATTALION,Theater,N,Y,Y,Y,Y,WFMVAA,QEYP
154,23-ORDCO,23-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,23-ORDCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WB3TAA,QEYP
155,702-EODDET,702-EODDET,29-SPTGP.21-TSC.ARMY.MIL,702-EODDET,CSS,DETACHMENT,Theater,N,Y,Y,Y,Y,WB54Y1,FRBC
156,720-EODDET,720-EODDET,29-SPTGP.21-TSC.ARMY.MIL,720-EODDET,CSS,DETACHMENT,Theater,N,Y,Y,Y,Y,WB6CRD,FRBC
157,24-ORDCO,24-ORDCO,29-SPTGP.21-TSC.ARMY.MIL,24-ORDCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WDHJAA,LEXG
158,37-TRANSGP,37-TRANSGP,21-TSC.ARMY.MIL,37-TRANSGP,CSS,GROUP,Theater,N,Y,Y,Y,Y,WCJZAA,MJPG
159,28-TCBN,28-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,28-TCBN,CSS,BATTALION,Theater,N,Y,Y,Y,Y,WCKNAA,ECST
160,66-MDM-TRKCO,66-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,66-MDM-TRKCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WCNXAA,MJPG
161,68-MDM-TRKCO,68-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,68-MDM-TRKCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WCNZAA,ECST
162,109-MDM-TRKCO,109-MDM-TRKCO,37-TRANSGP.21-TSC.ARMY.MIL,109-MDM-TRKCO,CSS,COMPANY,Theater,N,Y,Y,Y,Y,WH38AA,ECST
163,6-TCBN,6-TCBN,37-TRANSGP.21-TSC.ARMY.MIL,6-TCBN,CSS,BATTALION,Theater,N,Y,Y,Y,Y,WCKKAA,HERT
